B,G,R,Gray,Xb,Xg,Xr,H,S,V,L,a,b,pH
215.57977107154204,208.03111567647883,208.82542085882974,209.12915964103894,1.0308451075955898,0.9947494459096721,0.9985476019569411,143.1374614840171,11.954394870921924,216.39225035337185,213.5819119778418,129.8306158215491,124.42852412198032,02.0
223.11223543440096,209.79170213208462,210.57527963438972,211.5445326017379,1.0546821167647045,0.9917141301261932,0.9954182083770846,125.86988614349109,17.423222537441852,223.5741191930754,215.60746002389436,130.90621415746105,121.5315429748431,02.0
219.6104917962108,210.8138255876306,207.38249624773314,210.79067806277936,1.0418415738992246,1.0001098128487653,0.9838314395761317,100.5452171733911,16.836337033054978,220.44350312172432,215.4516780784082,128.613619718196,123.25973231584251,02.0
222.2316111960551,211.77208684471677,208.89055266244517,212.10289390027012,1.047753791141329,0.998440346336298,0.9848547976939185,126.52372444549762,16.63718327023657,222.41532903410234,216.58214270713634,129.06475364052335,122.58601377032778,02.0
219.88687934751488,203.98967333636503,201.69677347026428,205.11637776167197,1.0720103472332423,0.9945069992089268,0.9833284678253192,131.2813373713641,23.875130530712614,220.23131147575498,209.8613932258771,130.47724818099135,119.86633181328213,02.0
217.39995383831737,207.01568657101825,204.5990738480803,207.4769258353319,1.0478271401170705,0.9977769129629397,0.9861292913625698,131.85889868129692,18.26100850011673,218.23895037884415,212.32669162227364,129.29559394698305,122.64099564205418,02.0
212.77701463100334,200.97695216618078,198.53993628026194,201.5934915372808,1.0554756158467267,0.9969416702573157,0.9848529075332069,123.49643941146337,19.64889853071874,213.1153637241396,206.81301291158184,129.5583306252757,121.89920781119328,02.0
213.4686496890551,200.9801486422359,201.07618053021488,202.432551296079,1.0545174099833117,0.9928252514502037,0.9932996410054612,131.15857885087436,18.7824925094701,213.5738094750289,207.3690194119761,130.56593105999235,121.87367403362336,02.0
212.42158850290855,203.3213199494819,203.65076645711363,204.45725507035442,1.0389535378913972,0.9944441437381049,0.9960554659067331,130.13595000774674,14.694185254914482,213.37088355016363,209.23285366185743,129.97385031432958,123.56411947810491,04.0
209.49142770820123,199.0762959676493,197.5689252121413,199.81291713017532,1.0484378623616235,0.9963134457316084,0.988769535271976,127.98286303311428,17.02317765409084,209.67194504796305,205.1402198563869,129.5326017481623,122.73575532074925,04.0
199.02468597614785,190.6640376660237,190.46603440931835,191.55794859962293,1.0389790005119088,0.9953334698970513,0.9942998231173023,124.86559074402184,12.47659406745783,199.0426836075215,197.55578152508855,129.48801342845258,123.89740224427037,04.0
215.00289427117895,204.2217890584679,203.14518211310184,205.12892957605249,1.0481354078897274,0.9955777055949182,0.9903292652720875,110.45003059795032,17.297275307822755,215.90541436260415,209.97240691587407,129.81072992700732,122.51251566762517,04.0
209.6681332602473,202.1753224922346,200.57101041476338,202.54981360862416,1.0351435507384739,0.9981511159664005,0.9902305355971134,76.36516109385468,14.615278640599307,210.9028601011024,207.78293684146416,129.04734027650892,124.03312138376272,04.0
203.34381271711405,198.1344783333497,198.5917172054406,198.865056875854,1.0225215827839278,0.9963262598569019,0.9986255017613072,92.95632603948484,11.481129631294184,205.08638636876927,204.25243503857163,129.31630915000443,125.43686876888832,04.0
196.2246189467139,190.04801721387253,190.41404415554663,190.861591866977,1.0280990377753672,0.99573735791918,0.9976551190469883,89.09261762949266,11.125624861937215,197.08629844469715,196.81526892585106,129.38992203032063,124.91895919068617,04.0
189.75430074466803,183.67410623655786,180.01708602666213,183.2737993677236,1.0353596717004914,1.0021842012890838,0.9822303386938187,97.09771892092279,19.746701070662553,191.32788415425307,189.96427373537364,128.14500578140124,124.44775775781666,07.0
178.21417740194806,168.44718044228296,166.62063208001103,169.01448013536546,1.0544314147475085,0.9966434846728627,0.9858364321599121,122.95310173358287,20.616923873231848,178.23580354852467,176.04938608913963,129.31562182665994,122.76359840257192,07.0
200.6973453957975,195.57496439703354,192.55973657163585,195.25736271109872,1.0278605764677244,1.0016265798202177,0.9861842539405069,83.4091637333405,16.185626645797505,202.35763767599957,201.18413703111565,128.13691523806966,125.04751736484307,07.0
197.9304486822051,176.88560123502953,174.4574326998559,178.55869145199063,1.108489578819651,0.9906300264447729,0.9770313126805287,123.7669422960441,35.70387116595272,197.94013179042108,184.9672655947625,131.55070334144588,117.0772647856957,07.0
195.35483925028154,178.23899789510375,172.91493995906401,178.59831048671813,1.0938224371658294,0.9979881523479411,0.968177915501184,124.9131791753812,35.06389879515918,195.36009925635938,185.25556557355068,129.97658135356892,118.59536330687688,07.0
188.40253047706634,176.37725061812202,170.75891199450834,176.0682492735812,1.0700539776727132,1.001755008900331,0.969845004417446,132.68329593115507,30.404600225727854,188.82721093236952,182.99779116090687,128.8953901555806,121.15975470260597,07.0
200.1245746673335,186.75846252659863,182.6067094695967,187.04082514659882,1.069951303467999,0.9984903690422726,0.9762933270128232,127.41075858755235,25.00637631277028,200.28062395199012,193.39580085115563,129.35588331911472,120.79150548152072,07.0
179.0401302835147,164.04445258716413,158.7315056628914,164.16538871419056,1.0906082681972682,0.9992633275017734,0.9668999470968911,123.1262846990895,34.848438818565405,179.05779554371162,171.51039307128582,129.49604781997186,119.55569990376786,07.0
175.33997538454292,162.09129507926414,158.5581843450404,162.54524452453302,1.078714888875625,0.9972072425336297,0.9754710745850774,122.92941723788661,28.487802982121405,175.36072362377217,169.984104774692,129.5752538100959,120.67789496619791,07.0
185.39468629299137,175.3092180888791,170.7609960660808,175.09904307933118,1.058798969044026,1.0012003207205005,0.9752251814917974,128.35050636745552,24.90192230870197,185.77566940278805,182.02304976881248,128.54689691977828,122.2687870823464,07.0
